prod_id,cat_id
MPE440512179,MPE410883
MPE424883529,MPE410883
MPE440507670,MPE410883
MPE440255995,MPE410883
MPE436592247,MPE410883
MPE439939987,MPE410883
MPE440373987,MPE410883
MPE439897743,MPE410883
MPE435814228,MPE410883
MPE436164652,MPE410883
MPE438781961,MPE410883
MPE420447124,MPE410883
MPE440372778,MPE410883
MPE440373851,MPE410883
MPE440071407,MPE410883
MPE434294409,MPE410883
MPE440599607,MPE410883
MPE433972954,MPE410883
MPE439588709,MPE410883
MPE439905146,MPE410883
MPE439585414,MPE410883
MPE440010166,MPE410883
MPE440801353,MPE410883
MPE440320429,MPE410883
MPE440598363,MPE410883
MPE440550944,MPE410883
MPE430012838,MPE410883
MPE439588742,MPE410883
MPE439588735,MPE410883
MPE440600795,MPE410883
MPE439588529,MPE410883
MPE440515757,MPE410883
MPE439588617,MPE410883
MPE439588720,MPE410883
MPE440607646,MPE410883
MPE439572216,MPE410883
MPE439588443,MPE410883
MPE439588464,MPE410883
MPE439942733,MPE194324
MPE427139213,MPE194324
MPE421418989,MPE194324
MPE439933167,MPE194324
MPE439944376,MPE194324
MPE439634020,MPE194324
MPE439942806,MPE194324
MPE440029461,MPE194324
MPE439900041,MPE194324
MPE439942874,MPE194324
MPE432483252,MPE194324
MPE440065446,MPE194324
MPE435972512,MPE194324
MPE440233636,MPE194324
MPE436845241,MPE194324
MPE430020122,MPE194324
MPE430011463,MPE194324
MPE439942670,MPE194324
MPE439909537,MPE194324
MPE438010021,MPE194324
MPE439934665,MPE194324
MPE439801680,MPE194324
MPE439853261,MPE194324
MPE440608196,MPE194324
MPE439684075,MPE194324
MPE439845325,MPE194324
MPE439942815,MPE194324
MPE428261314,MPE194324
MPE435333067,MPE194324
MPE440016131,MPE194324
MPE439943341,MPE194324
MPE432696073,MPE194324
MPE440578073,MPE194324
MPE439942785,MPE194324
MPE438030505,MPE194324
MPE439856143,MPE194324
MPE439837569,MPE194324
MPE439942717,MPE194324
MPE440549779,MPE194324
MPE439983092,MPE194324
MPE440324158,MPE194324
MPE440472374,MPE194324
MPE439458340,MPE194324
MPE439838385,MPE194324
MPE440486946,MPE194324
MPE440144907,MPE194324
